"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"sub10","X2","~","X1",0.280033904321582,0.280252779366518,0.0492349365452039,5.69215274826667,1.25447547905111e-08,"group"
"sub10","X6","~","X5",0.301847116418385,0.300389420363597,0.0495569518694776,6.0614991243763,1.34858613165534e-09,"group"
"sub10","X8","~","X7lag",0.290068872206223,0.289308706121447,0.0563860793721062,5.13085338337189,2.88431513784104e-07,"group"
"sub10","X5","~","X4",0.258351443520995,0.258283903706701,0.0504382891615387,5.12079033607771,3.0425778030363e-07,"group"
"sub10","X7","~","X6lag",0.265655442729598,0.266012262937475,0.0521091967929219,5.10490046497144,3.30968674466803e-07,"group"
"sub10","X3","~","X2lag",0.325816656355506,0.32579194021244,0.0539952729715785,6.03371225447692,1.60235291701838e-09,"group"
"sub10","X4","~","X3lag",0.236900789063462,0.236844982532031,0.0531547090378961,4.45576670099303,8.35939008747566e-06,"group"
"sub10","X2","~","X1lag",0.310555380237836,0.310228168738162,0.0519978469917043,5.96617334536285,2.42882247647458e-09,"ind"
"sub10","X6","~","X4lag",0.255532809505798,0.254748543929157,0.0507038636640974,5.02424323354948,5.05421488661284e-07,"ind"
"sub100","X1","~","X1lag",0.178159218380118,0.178284177818212,0.0559932806976707,3.1840280761693,0.00145240924327017,"group"
"sub100","X2","~","X2lag",0.10100828370785,0.100988208156622,0.0552328413568362,1.82840870894509,0.067488235306608,"group"
"sub100","X3","~","X3lag",0.114894587323491,0.115116311695394,0.0534794545770194,2.15253339073619,0.0313553683331933,"group"
"sub100","X4","~","X4lag",0.163327502904416,0.163130437665598,0.0520727942254351,3.13273831550826,0.00173183770729324,"group"
"sub100","X5","~","X5lag",0.212596341627606,0.21365469364341,0.0495765133193832,4.30959499444822,1.63553794061411e-05,"group"
"sub100","X6","~","X6lag",0.243699600086357,0.246374438405753,0.0471579505243475,5.22445177676988,1.74671840325047e-07,"group"
"sub100","X7","~","X7lag",0.189834571269832,0.192484310949732,0.05178095215292,3.71728025358217,0.000201379014430625,"group"
"sub100","X8","~","X8lag",0.116894077764184,0.117804844675313,0.0494007951338662,2.38467507164784,0.0170942121993665,"group"
"sub100","X8","~","X7",0.336995305510975,0.335721710321347,0.0443051914851436,7.57748017935824,3.530509218308e-14,"group"
"sub100","X7","~","X6",0.403208606946022,0.404460252428706,0.0446601878529192,9.05639389070032,0,"group"
"sub100","X3","~","X2",0.361583549840379,0.36149387415272,0.0471233294643101,7.67122947937083,1.70974345792274e-14,"group"
